unikey3,re_summary_text,rr
10054632,"1. 家庭關係
    1) 客戶提到她的阿公，並表示半夜無法反應，可能與阿公有關。
    2) 客戶提到她的母親住在三樓，並提到母親已經七十歲，且有購買東西給母親使用。
    3) 客戶提到她的兒子想購買某種機器。
    4) 客戶目前一個人生活。

2. 健康狀況
    1) 客戶提到肚子很大，並對相關護理效果表示關注。
    2) 客戶提到抬頭紋較深，並希望加強護理。
    3) 客戶提到她最近被醫生要求減重十斤，並對瘦身產品有興趣。
    4) 客戶提到她一週已經超經三次，並感到疲憊。
    5) 客戶提到目前正在吃抗生素，並表示這些保健品都不能吃。
    6) 客戶提到有泌尿問題，正在食用蔓越莓錠。
    7) 客戶提到感冒並詢問感冒藥的效果。
    8) 客戶每天洗頭，習慣用熱水洗頭，認為這樣頭髮會更順且感覺舒服。

3. 職業背景
    1) 客戶目前的工作需要做到半夜兩點，且工作時間通常超過12小時。
    2) 客戶提到她的工作讓她感到非常疲憊。
    3) 客戶在週末都有開店。

4. 健康食品使用心得
    1) 客戶對葉黃素產品有興趣，並同意購買。
    2) 客戶去年購買的葉黃素和安瓶產品還有剩餘，繼續食用中。
    3) 客戶曾經購買過龜鹿產品，並認為龜鹿燉雞比較實在，但目前表示不需要龜鹿膠。
    4) 客戶對於保養品有需求，特別是保濕和膠原蛋白類的精華液，並希望使用簡單的產品。
    5) 客戶表示吃了兩個月的保養品後感覺健康了。
    6) 客戶提到對於瘦身產品小欖鎮有興趣，並希望能快速減重。
    7) 客戶提到對於飲食習慣的改變表示擔憂，擔心停止食用後會反彈。
    8) 客戶提到有在吃蔓越莓錠，因為泌尿問題。

5. 禁忌
    1) 客戶提到目前正在吃抗生素，並表示這些保健品都不能吃。
    2) 客戶不喜歡鴨肉。
    3) 客戶提到她不需要美白功能的精華液，但其他類型的精華液都可以。",1
10091676,"1. 家庭關係
    1) 客戶與先生同住，先生已退休，曾中風，目前需要陪伴，家中有使用長照服務。
    2) 客戶有一個兒子和媳婦，兒子每週回家，媳婦曾因白內障開刀，兒子有眼壓高的問題，擔心會有青光眼。
    3) 客戶的兒子和媳婦住在四樓，客戶住五樓，家中每人住一層樓。
    4) 客戶有一個孫女，目前在茗傳上課。
    5) 客戶的婆婆去年去世，公公目前狀況良好。
    6) 客戶的父親曾因工作導致脊椎問題，手術後恢復良好。

2. 健康狀況
    1) 客戶有糖尿病，血糖不穩定，曾飆高至300以上，糖化血色素曾達7.7，近期有改善但仍需控制。
    2) 客戶有高血壓、高血脂、高血糖、痛風尿酸及腎臟功能不佳的問題，腎絲球指數為80，24小時尿檢為60幾。
    3) 客戶有骨質疏鬆、便秘、腸胃不適、宿便、手麻、記憶力退化、情緒不穩及水腫等問題。
    4) 客戶曾開過白內障手術，兩隻眼睛已完成手術，並有黃斑部病變。
    5) 客戶有甲狀腺相關健康問題，家族有甲狀腺問題遺傳史。
    6) 客戶有胃潰瘍，可能因壓力大導致，並有吞嚥困難。
    7) 客戶的腎臟功能下降，尿量減少，腎臟有結石，對此感到擔憂。

3. 職業背景
    1) 客戶目前沒有工作，待在家中，年輕時曾從事股票投資。
    2) 客戶對手工藝有興趣，會製作手工藝品送人，並在線上參加教會活動。

4. 健康食品使用心得
    1) 客戶每天服用保健品，包括葉黃素、蚓激酶、益生菌、玻尿酸、魚油等，對葉黃素和蚓激酶效果滿意。
    2) 客戶認為滴雞精對體力有幫助，但因血糖問題已停止飲用。
    3) 客戶對褐藻產品有一定了解，認為其有助於增強免疫力，但擔心影響血糖。
    4) 客戶對於保健品的吸收效果和體質反應有疑慮，曾因食用某些產品導致不適。
    5) 客戶對於益生菌產品有興趣，並認為液態益生菌對腸胃有幫助。

5. 禁忌
    1) 客戶不吃牛肉、湯圓、苦茶油、薑黃及高GI食物如稀飯，並減少水果攝取。
    2) 客戶對某些保健品過敏，不能使用紅色產品及某些膠囊產品。
    3) 客戶對於過於補的產品如滴雞精持保留態度，認為不應隨便飲用。
    4) 客戶對於某些食物和產品有特殊反應，擔心影響健康。",1
10303606,"1. 家庭關係
    1) 客戶有三個小孩，分別是大二、大三和國三，家中有小孩過敏需頻繁使用衛生紙。
    2) 客戶的太太患有罕見免疫疾病，需服用中藥、標靶藥物和類固醇，健康狀況有所改善但無法正常工作，改吃素且對肉類極為敏感。
    3) 太太每天步行七八千步以維持健康，並在佛教協會中負責廚房工作，製作天然點心。
    4) 客戶提到太太皮膚敏感，不能使用保養品或吃某些食物。

2. 健康狀況
    1) 客戶有老花眼、腦筋偶爾糊塗，曾感染新冠病毒並有心臟不適的後遺症，服用保健食品後症狀有所改善。
    2) 客戶腸胃不好，需注意保健食品的吸收效果，曾得過帶狀皰疹但恢復迅速。
    3) 客戶目前有些微發福，過去身材較瘦，並表示自己從年輕時反應就不太好。

3. 職業背景
    1) 客戶曾在美國從事電子與電腦相關職業，對外國家庭文化有一定了解。
    2) 客戶目前從事志工工作，主要幫助老人提供餐食服務，並提到斜槓工作一直在進行中。
    3) 客戶曾考過中醫師，對健康相關知識有一定了解，並曾在股票市場進行放空操作。

4. 健康食品使用心得
    1) 客戶偶爾服用保健品以保持健康，感受到些微改善，曾使用蚓激酶保養心血管健康，並表示幹細胞產品對重大健康問題效果顯著。
    2) 客戶家中有大量保健食品，包括魚油、南瓜籽、葉黃素、亞麻油等，但不常認真服用，部分產品未開封或已過期。
    3) 客戶曾購買鹿胎盤、胜肽產品等，認為对皮肤和心脏健康有帮助，但部分产品因燥热或火气大未持续使用。

5. 禁忌
    1) 客戶表示止痛藥對腸胃不好，因此不喜歡使用止痛藥。
    2) 客戶對保養品和化妝品敏感，偏好天然的飲食和生活方式。
    3) 客戶認為人參片和龜鹿二仙膠火氣太大，不太適合自己。",1
10434096,"1. 家庭關係
    1) 未提及具體家庭成員或關係。

2. 健康狀況
    1) 未提及具體健康狀況。

3. 職業背景
    1) 未提及具體職業背景。

4. 健康食品使用心得
    1) 未提及健康食品使用心得。

5. 禁忌
    1) 未提及具體禁忌。",1
10503979,"1. 家庭關係
    1) 未提及相關資訊。

2. 健康狀況
    1) 未提及相關資訊。

3. 職業背景
    1) 客戶目前表示自己正在忙碌，未提供具體職業背景。

4. 健康食品使用心得
    1) 未提及相關資訊。

5. 禁忌
    1) 客戶目前沒有特定商品需求。",1
10517436,"1. 家庭關係
    1) 客戶提到家中沒有養狗或貓。
    2) 客戶提到媽媽建議他服用魚油。
    3) 客戶提到家裡有某個東西。

2. 健康狀況
    1) 客戶提到自己有冠心病。
    2) 客戶提到目前代謝有問題。
    3) 客戶提到血糖問題，並提到血糖機和糖化血色素。
    4) 客戶提到自己有慢性病。
    5) 客戶提到他有糖尿病。
    6) 客戶提到每天服用一顆藥物。

3. 職業背景
    1) 客戶提到中宏江浙老闆有十六萬多。

4. 健康食品使用心得
    1) 客戶之前常購買愛美是人的龜鹿微米產品。
    2) 客戶之前常訂購葡萄糖胺產品，三盒九百九的方案。
    3) 客戶提到他有購買過華陀品牌的多種產品，包括葡萄糖胺飲、龜鹿產品和魚油等。
    4) 客戶提到適當補充維骨力零。
    5) 客戶提到白藜蘆醇。
    6) 客戶提到曾經購買過東森的B群產品。
    7) 客戶提到媽媽建議他服用魚油。
    8) 客戶之前有申請過德國原裝進口的發泡錠。
    9) 客戶之前有申請過龜鹿葡萄糖胺飲。
    10) 客戶提到他有與朋友一起購買和使用保健產品。

5. 禁忌
    1) 客戶提到目前不喝酒。
    2) 客戶提到她已經不用護膚品了。",1
10817316,"1. 家庭關係
    1) 客戶的母親喜歡購買名牌包，且有吸菸的習慣，客戶每月支付房租給母親。
    2) 客戶的父親已去世，並繼承了一些房產。
    3) 客戶的先生曾在日本住了十幾年，且有健康問題需要客戶協助處理。
    4) 客戶的女兒對某些事情的看法與她一致，但不太願意吃東西，偶爾會吃保健品，且不喜歡看新聞。
    5) 客戶的兒子很瘦，但具體情況不明。
    6) 客戶的姐姐年紀較大。
    7) 客戶的子女目前都在日本。
    8) 客戶的朋友和同學多住在國外，處理事情不便。

2. 健康狀況
    1) 客戶曾因腎結石開刀，使用超音波清除，但仍有部分未清除，腎功能指數曾經是40，後來逐漸改善。
    2) 客戶有心臟問題，但無明顯症狀，醫院開了心臟相關藥物。
    3) 客戶血糖偏高，飯前血糖有時一百多，糖化血色素為5點多，屬於正常範圍，但血糖狀況不穩定，曾出現血糖過低、冒冷汗和頭暈的情況。
    4) 客戶有低血壓，偶爾感到頭暈，並提到睡眠時間通常只有三到四個小時。
    5) 客戶有膝蓋問題，並提到支氣管健康狀況。
    6) 客戶對醫院的診斷和用藥有疑慮，認為醫院可能有賺錢的意圖，並考慮更換醫院。

3. 職業背景
    1) 客戶的學姐曾在台大婦產科工作。
    2) 客戶提到家中經濟狀況不佳，無法負擔公務員的帳單。

4. 健康食品使用心得
    1) 客戶有使用華陀的保健食品，如滑精養身和龜鹿二仙膠，對滑精養身的效果表示滿意。
    2) 客戶有購買多種保健食品，包括氨基酸、花旗蔘片、葉黃素、活菌養生產品、褐藻等，但部分產品尚未使用完。
    3) 客戶對於華陀的贈品和產品包裝有些疑慮，並提到產品背面標明內容物。
    4) 客戶對於保健食品的效果和與藥物的相容性有所擔憂，並考慮是否繼續購買。
    5) 客戶提到褐藻有解毒效果，並擔心吃太多補品會導致結石問題。

5. 禁忌
    1) 客戶避免選擇糖分過高的產品，並不敢吃某些食物以避免血糖問題。
    2) 客戶不喜歡做電腦斷層檢查，認為這樣的檢查不太好。
    3) 客戶不會吃京東的產品，因為家裡還有很多存貨。
    4) 客戶對醫院開的抗凝血劑和胰島素使用有疑慮，並提到醫生建議某些藥物不適合她。",1
10995501,"1. 家庭關係
    1) 客戶提到家中沒有電視台。

2. 健康狀況
    1) 客戶提到中午時間不方便，因為要開會或開刀，可能與健康或工作相關。

3. 職業背景
    1) 客戶表示自己是工程師。
    2) 客戶目前尚未有工作，正在在線上找工作。
    3) 客戶提到目前正在準備資料，可能與求職相關。

4. 健康食品使用心得
    1) 無相關資訊。

5. 禁忌
    1) 客戶提到他不需要回去購買任何東西。",1
11096151,"1. 家庭關係
    1) 客戶與母親同住，母親需要高照顧，使用電動床，記憶力退化，需坐輪椅，並有高血壓家族基因。
    2) 客戶有太太和三個小孩，其中一個小孩在台中念書，另一個小孩在上班。
    3) 客戶家族很大，有六個兄弟，家人會一起聚會，並喜歡購買天然的緊實類產品。
    4) 客戶家中養了許多寵物，包括貓和狗。

2. 健康狀況
    1) 客戶75歲，身高一六幾，體重63公斤，體質分數高，身體狀況良好，總膽固醇150，無高血壓或高血糖問題。
    2) 客戶有白內障，但視力尚可，眼科醫生建議暫不需手術。
    3) 客戶的飯後血糖值曾達190，使用蚓激酶後降至138，屬正常範圍。
    4) 客戶提到腎臟可能受損，並可能有糖尿病，但未明確表示。
    5) 客戶的母親體力尚可，但行動不便，需坐輪椅，並有高血壓，需服用降血壓藥物。

3. 職業背景
    1) 客戶以前從事傳統工業，涉及寫字和義大等行業，但因下一代無興趣而結束相關業務。
    2) 客戶目前仍在上班，對股票投資有興趣，認為需做功課。

4. 健康食品使用心得
    1) 客戶長期使用蚓激酶，對其效果滿意，尤其是對血管健康的影響，通常一次只吃一顆。
    2) 客戶和母親、太太一起服用蚓激酶，母親每天吃一顆，並長期服用益生菌和其他保健食品。
    3) 客戶對保健食品有信心，認為其免疫力和體力狀況良好，並幾乎每天吃益生菌。
    4) 客戶購買過褐藻膠，認為其具有抗發炎和抗氧化效果，並曾使用褐藻增強防護力。
    5) 客戶購買過牛樟芝產品，認為其有保肝效果，並對活化粒線體的產品有興趣。
    6) 客戶的母親飲食中包含納豆、紅麴和美國進口的保健食品，並每天使用水氧機測量血氧，數值在98到99之間。

5. 禁忌
    1) 客戶不敢吃麻辣火鍋，對外面的飲食較謹慎，認為市面上部分食品存在食安問題。
    2) 客戶認為空腹是最好的藥，並提到飲食對健康的重要性，尤其是對粒線體的影響。",1
11187114,"1. 家庭關係
    1) 無相關資訊。

2. 健康狀況
    1) 無相關資訊。

3. 職業背景
    1) 無相關資訊。

4. 健康食品使用心得
    1) 無相關資訊。

5. 禁忌
    1) 無相關資訊。",1
