unikey3,性別,年齡,縣市,OB等級,星座,會員年資_天數,是否獨居,是否為寵愛自己名單,高健康意識,高美麗意識,健檢標籤,美容標籤,保健標籤,有無養寵物,全通路歷史累積消費金額,全通路歷史累積消費件數,全通路近三年累積消費金額,全通路近三年累積消費件數,全通路近一年累積消費金額,全通路近一年累積消費件數,全通路近一年保健消費金額,全通路近一年保健消費件數,全通路近一年美容消費金額,全通路近一年美容消費件數,ob歷史累積消費金額,ob歷史累積消費件數,OB近三年累積消費金額,OB近三年累積消費件數,OB近一年累積消費金額,OB近一年累積消費件數,OB近一年保健消費金額,OB近一年保健消費件數,OB近一年美容消費金額,OB近一年美容消費件數,三年內有高單一次付清,三年內買過黃金鑽石,十年地址不變,商務菁英,房產投資客,打高爾夫,有富等信用卡,有高價保單,科學園區3公里內,買過大額禮券,買過收藏品,退休保健族,重金珠寶客,關注理財,高價地段,高社經地位職業,persona,rr
10056675,女,54.0,高雄市新興區,C,天秤座,5789,否,否,否,否,否,是,是,否,169474.28565000003,93,39899.04763,15,20939.04764,9,18058.09526,7,2838.09524,1,36964.76193000001,13,36489.52383,12,20939.04764,9,18058.09526,7,2838.09524,1,否,否,否,否,否,否,0,否,否,否,否,否,0,否,否,否,"1. 家庭關係
    1) 客戶提到她有女兒和孫女。
    2) 客戶提到她的老婆在旁邊。
    3) 客戶提到她一個人住，沒有朋友在身邊。
    4) 客戶提到家裡人會幫忙收貨。
    5) 客戶提到家裡有在煮飯。

2. 健康狀況
    1) 客戶表示她自己會服用B群，並提到全家都有在服用B群。
    2) 客戶提到她很少使用保健品。
    3) 客戶提到她之前購買過自然美的口服玻尿酸，但因為不喜歡味道而沒有飲用。

3. 職業背景
    1) 客戶提到她目前在工地工作。
    2) 客戶提到她現在人在工地，表示沒空。

4. 健康食品使用心得
    1) 客戶提到之前有購買過B群，並且想要再次購買，且她的女兒也可以一起服用。
    2) 客戶提到她之前購買過益生菌，但目前還有一盒未吃完，並表示會先開一包試用。
    3) 客戶提到她去年購買了兩次萬歲牌堅果。
    4) 客戶提到她之前購買過自然美的口服玻尿酸，但未喝完且將剩下的部分送給他人。
    5) 客戶提到她買的小魚乾到現在還沒吃完。

5. 禁忌
    1) 客戶表示對保養品沒有興趣，並提到目前不需要更多的面膜，因為用不完。
    2) 客戶提到如果產品是混合的，她就不會購買。
    3) 客戶提到如果產品效果那麼好，醫美就不需要了。",1
10064924,女,74.0,台北市萬華區,Z,摩羯座,5787,否,否,是,否,否,是,是,否,48072.38096,34,37903.80953000001,26,7954.28572,7,5116.190479999999,6,2838.09524,1,7944.761909999999,7,7944.761910000001,7,5116.190479999999,6,5116.190479999999,6,0.0,0,否,否,否,否,否,否,0,否,否,否,否,否,0,否,否,否,"1. 家庭關係
    1) 客戶提到她剛搬到九樓。
    2) 客戶通常在母枕點的時候不接電話。

2. 健康狀況
    1) 客戶目前很忙，沒有時間處理其他事情，且最近比較忙，沒有時間挑選商品。
    2) 客戶表示她剛開始服用葉黃素，每天服用一顆作為保養，但尚未感受到特別效果。
    3) 客戶提到自己沒有在吃鈣片或相關保健食品。

3. 職業背景
    1) 客戶未提及具體職業背景，但表示她通常會在網路上查看商品並進行訂購。

4. 健康食品使用心得
    1) 客戶目前服用葉黃素，並考慮試吃綜合B群產品。
    2) 客戶曾購買白蘭氏膠原錠，但感覺效果不明顯，目前有在服用 Momo 購買的膠原蛋白產品。
    3) 客戶通常分開服用魚油和蝦紅素，而不選擇複方產品。
    4) 客戶以前有吃過綠蜂膠，平常的保養品多在飯後服用。
    5) 客戶主要使用白蘭氏和大醫生品牌的保健食品。

5. 禁忌
    1) 客戶表示她不需要幹細胞相關產品，並對侵入性治療持拒絕態度。
    2) 客戶不喜歡切片的食品，且不會購買東森的年菜，因為之前購買過冷凍食品加熱後口感不好。",1
10068557,男,67.0,高雄市楠梓區,D,雙子座,5786,否,否,否,否,否,否,是,否,266014.28571,28,21311.42856,11,5505.71428,2,4744.7619,1,0.0,0,14874.28571,9,11770.476179999998,6,5505.71428,2,4744.7619,1,0.0,0,否,否,否,否,否,否,0,否,否,否,否,否,1,否,否,否,,1
10074121,男,65.0,高雄市新興區,C,巨蟹座,7792,否,是,否,否,否,是,是,否,1157198.09536,163,198264.76191000003,28,47998.09524,8,36819.04762,2,5695.2381,2,914689.5238199998,64,185588.57143000004,22,39483.80952,4,36819.04762,2,0.0,0,否,否,否,否,否,否,1,否,否,否,是,否,0,否,否,否,"1. 家庭關係
    1) 客戶提到自己有一個太太，並且會與太太一起看望母親，太太被描述為賢惠且最適合當老婆。
    2) 客戶提到有一個兒子，並表示正在多多關注兒子。
    3) 客戶的母親在去年的除夕夜離世，生前患有呼吸衰竭和癌症，並曾因重感冒住院。
    4) 客戶的父親曾在高雄的陸軍總醫院檢查出腎臟問題，進行了五年的洗腎治療。
    5) 客戶提到家族中有乳癌和癌症病史，妹妹患有乳癌。
    6) 客戶提到有一個七十幾歲的大姐。
    7) 客戶提到與兄弟姐妹關係不太好，並對重男輕女的觀念感到不滿。

2. 健康狀況
    1) 客戶有血糖問題，糖化血色素曾降到5.6，並考慮使用苦瓜胜肽控制血糖。
    2) 客戶有肝臟血管瘤、髖關節問題（有進步情況）、膝蓋受傷（使用某產品後感覺改善）、心臟跳動問題、左右肩膀有血管問題。
    3) 客戶曾檢查出大腸問題，進行手術切除二十幾顆腫瘤，並開始使用靈芝產品。
    4) 客戶有注射睪固酮，劑量為每次0.55cc，頻率為兩週一次，計劃持續四次，因荷爾蒙濃度低且心臟跳動有問題。
    5) 客戶提到腦袋需要保養，並提到腦袋健康對他很重要。
    6) 客戶提到自己有白內障，醫生建議等到適當時候再處理。
    7) 客戶提到自己體重100公斤，缺乏運動，血脂和甘油三酯正常，無三高，但身體狀況不佳，無法過度勞累。
    8) 客戶定期進行健康檢查，包括每三年一次的全面健康檢查和每半年一次的攝護腺超音波檢查。

3. 職業背景
    1) 客戶提到自己是主管，且是一個非常抗壓的人。
    2) 客戶提到當兵時是全國一年只有一期的護理四罐班，並以第一名畢業。
    3) 客戶提到對某些事情有研究，並已研究出解決方案。

4. 健康食品使用心得
    1) 客戶使用過苦瓜胜肽、精油、磷蝦油、面膜、美白產品、灵芝、褐藻糖膠、亚培营养品、氨基酸产品等。
    2) 客戶對幹細胞產品效果持懷疑態度，認為某些產品效果不明顯，並不願再花冤枉錢。
    3) 客戶認為茶樹精油有效，具有殺菌作用。
    4) 客戶提到使用某產品後膝蓋不容易累，並每天使用某產品幫助睡眠。
    5) 客戶提到紅蘿蔔燉肉有助於健康，母親使用後健康狀況有所改善。

5. 禁忌
    1) 客戶不喝甜的飲料、不吃甜食，不喝飲料，且不吃豬肉、牛肉和鴨肉，較喜歡吃羊肉，認為羊肉有溫補效果。
    2) 客戶不敢使用大陸的產品，對產品品質有高要求。",1
10128988,女,75.0,台北市萬華區,D,天蠍座,5767,否,否,是,是,是,是,是,否,191107.61906,91,75500.95236999998,20,9078.09523,7,0.0,0,7848.57142,5,135420.95238,47,69910.47618000001,15,7848.57142,5,0.0,0,7848.57142,5,否,否,是,否,否,否,0,否,否,否,否,是,0,否,是,否,"1. 家庭關係
    1) 客戶和先生一起住在台灣。
    2) 客戶的女兒經常購買保養品和保健品給她。
    3) 客戶的孩子在國外，過年時才回來。

2. 健康狀況
    1) 客戶最近因跌倒骨折，剛做完手術，尚未拆線。
    2) 客戶有糖尿病，手上有傷口。
    3) 客戶有胃食道逆流和胃潰瘍的狀況。
    4) 客戶有時候眼睛會乾澀。
    5) 客戶已經過了更年期二十年。

3. 職業背景
    1) 無明確職業背景資訊。

4. 健康食品使用心得
    1) 客戶每天服用多種保健品，包括益生菌、綜合維他命、葉黃素、合利他命F等。
    2) 客戶認為合利他命讓她有精神和活力，但被告知不能長期服用。
    3) 客戶對於幹細胞產品的效果感到懷疑，曾花費五萬多購買。
    4) 客戶對葉黃素產品有興趣，並決定購買一盒。
    5) 客戶對於增加新的補鈣產品感到猶豫。

5. 禁忌
    1) 客戶不喜歡龜鹿的味道，習慣吞膠囊類的保健品。
    2) 客戶對膠囊不太舒服，詢問是否可以將膠囊剝開食用內容物。
    3) 客戶不想與藥物混合食用保健品。
    4) 客戶對於保健品的信心不足，並要求不再推銷。",1
10191101,女,58.0,高雄市三民區,Z,摩羯座,5750,否,否,否,否,否,是,是,否,469621.90477,229,101614.28572,33,19943.80954,13,4811.42857,3,5676.19049,3,52034.28572,4,24000.0,1,0.0,0,0.0,0,0.0,0,否,否,否,否,否,否,0,否,否,否,否,否,0,否,否,否,"1. 家庭關係
    1) 家裡只有一個人在吃保健食品。
    2) 客戶表示不喜歡浪費東西，對家庭物品的使用較為節儉。

2. 健康狀況
    1) 客戶有輕症重疾的情況，且有過敏體質，對某些成分、材質（如木頭、毛線）及特定產品（如粉色產品）容易過敏。
    2) 客戶夏天流汗時容易過敏，且有久坐習慣，可能導致身體不適。

3. 職業背景
    1) 客戶未提及具體職業背景，但提到她今天放假，並且曾在提車時無法接電話。
    2) 客戶表示目前沒有買房的規劃。

4. 健康食品使用心得
    1) 客戶經常購買人蔘產品，包括玻璃瓶裝人蔘、鋁箔包裝濃縮人蔘及紅參片，並以含在嘴裡的方式食用。
    2) 客戶有服用骨膠原蛋白等顧骨頭的保健食品，並曾購買雙龍品牌的骨關節保健食品，但不會每天服用。
    3) 客戶有服用護眼保健食品、益生菌及B群，且偏好特定品牌。
    4) 客戶曾購買葉黃素產品，但目前不需要；也曾購買華陀滴雞精、褐藻燕窩等保健品。
    5) 客戶對某些保健食品有過敏反應，但對土黃色盒子的保健食品無過敏反應，且目前使用該產品的加強版。
    6) 客戶每天服用一顆保健品，但如果服用後無感覺，可能會停止使用。
    7) 客戶表示目前關節保健食品存貨充足，甚至拿去送人。

5. 禁忌
    1) 客戶對某些成分、材質（如木頭、毛線）及特定產品（如粉色產品）過敏，需避免使用。
    2) 客戶會避開容易引起過敏的食物及產品。",1
10207613,女,64.0,台南市學甲區,D,射手座,5746,否,否,否,否,否,是,是,否,532023.80954,77,180058.09525999997,19,22837.14286,3,21885.71429,2,951.42857,1,506384.76193,67,175238.09525999997,18,22837.14286,3,21885.71429,2,951.42857,1,否,否,否,否,否,否,0,否,否,否,是,否,0,否,否,否,"1. 家庭關係
    1) 客戶有一個兒子和一個女兒，兒子已經結婚並住在高雄，女兒尚未結婚，在新竹的餐飲店工作，並會寄錢給客戶。
    2) 客戶的先生在統一集團工作了三十多年，主要負責拿貨和產品，性格顧家，是摩羯座。
    3) 客戶提到媽媽，並提到之前小朋友在家時會做飯，現在沒有。

2. 健康狀況
    1) 客戶有三高問題，可能患有退化性關節炎，並有發炎症狀。
    2) 客戶提到眼壓問題，心臟無力，睡覺時會感到屋里，並未接種疫苗。
    3) 客戶有時候皮膚會乾，提到自己皮膚很白，即使曬黑也會比一般人白得快。
    4) 客戶提到最近的狀況挺好，但最近因為自己的事情很忙。

3. 職業背景
    1) 客戶的先生在統一集團工作三十多年，主要負責拿貨和產品。
    2) 客戶的女兒在新竹的餐飲店工作多年。

4. 健康食品使用心得
    1) 客戶有使用氨基酸、口服安瓶、玻尿酸、葉黃素、褐藻糖膠、甲魚精等健康食品，並對玻尿酸和氨基酸的效果表示滿意。
    2) 客戶每天吃一顆褐藻糖膠，免疫力低時吃兩顆；每天喝一瓶玻尿酸，並在中午和晚上各服用一顆；每天吃一粒美國品牌NMN產品，並表示該產品很貴。
    3) 客戶對益生菌產品有興趣，並詢問相關價格和效果。
    4) 客戶對葉黃素產品效果評價一般，對彩虹餐盤和高劑量時空產品沒有興趣。

5. 禁忌
    1) 客戶不想購買氨基酸產品，對葉黃素產品興趣不大。
    2) 客戶沒有在吃雞肉，使用肥皂洗澡，不喜歡用沐浴乳。
    3) 客戶沒有做過醫美，僅使用乳液和眼霜，不使用其他保養品。
    4) 客戶有時候會吃兩顆加倍丁，並提到某些保健品效果不佳。
    5) 客戶有服用中藥，但會與其他藥物隔開一小時。",1
10209106,男,82.0,高雄市鼓山區,Z,白羊座,5746,否,否,否,否,否,否,是,否,11211.42857,9,9421.90476,7,6003.80952,4,2828.57143,1,0.0,0,3780.95238,2,3780.95238,2,3780.95238,2,2828.57143,1,0.0,0,否,否,否,否,否,否,0,否,否,否,否,否,0,否,否,否,,1
10210668,女,66.0,苗栗縣竹南鎮,Z,射手座,5746,是,否,是,是,否,是,是,否,1511687.6191499997,908,480603.8095699998,210,136050.47617999994,76,11094.2857,7,14000.95238,8,124269.52381,30,101931.42858,15,951.42857,1,0.0,0,951.42857,1,否,否,否,否,否,否,0,否,否,否,否,否,0,否,否,否,"1. 家庭關係
    1) 客戶目前沒有提及家庭成員或相關關係。
    2) 客戶提到自己平時不在家，住在五樓，物品會放在地下室自行取回。

2. 健康狀況
    1) 客戶有嚴重的睡眠障礙，僅安眠藥有效，且年輕時就有多夢的困擾。
    2) 客戶有掉髮的症狀，認為是正常現象。
    3) 客戶沒有三高問題和慢性病，但有退化的部分。
    4) 客戶有眼睛乾澀的問題，專員建議早上空腹吃兩顆葉黃素並多喝水。
    5) 客戶最近健康狀況有好轉，但改善不明顯。
    6) 客戶沒有近期健康檢查，但幾年前檢查時無異常。

3. 職業背景
    1) 客戶從事成衣相關工作，平時較為忙碌。
    2) 客戶在東森購物有超過十年的購物經驗，忠誠度高。

4. 健康食品使用心得
    1) 客戶曾購買過幹細胞產品，反映不錯，效果持續較久，但認為價格偏高。
    2) 客戶曾購買過粒線體產品，對其保護心臟的功能有考慮，但對價格表示貴。
    3) 客戶曾購買過葉黃素產品，但未感受到明顯效果。
    4) 客戶對保健品效果持懷疑態度，認為宣傳與實際效果不符，且希望產品無副作用。
    5) 客戶提到睡眠狀況改善，使用某產品後睡眠變好。
    6) 客戶對於塑膠手鏈的功效持懷疑態度，認為價格偏高。
    7) 客戶對於購買的睡眠枕頭不滿意，認為效果不佳。
    8) 客戶曾購買新時代活泉的幹細胞膠囊，已使用一個月。
    9) 客戶表示如果產品有效才會推薦給別人。

5. 禁忌
    1) 客戶對價格非常敏感，認為價格是首要考量因素，目前沒有預算購買大金額產品。
    2) 客戶不希望被推薦其他產品，對於專員的推銷表示不滿。
    3) 客戶擔心使用面膜後可能會有不習慣或過敏的情況。
    4) 客戶希望保健品無副作用，並願意嘗試一段時間後再觀察效果。
    5) 客戶對於瘦身專案沒有興趣，對明星代言產品無特別偏好。",1
10214427,女,63.0,桃園市楊梅區,A,摩羯座,5745,否,是,是,是,否,是,是,否,611964.7618499999,116,368476.1904399999,30,245625.71428000004,16,229314.28570000004,10,14622.85715,4,563884.76186,86,365056.19044,26,242787.61904,15,226476.19046,9,14622.85715,4,否,否,否,否,否,否,0,否,否,否,是,否,0,否,否,否,"1. 家庭關係
    1) 客戶與家人同住，家中有一男一女兩個子女，並有一名一歲多的孫子。
    2) 客戶的女兒曾就讀台北醫學院，參加過交換學生計畫，去過菲律賓和美國，目前在新一區的高檔環境中工作，從事高檔商品銷售，並且在家中非常懂事，曾幫忙照顧弟妹且學業成績優異。
    3) 客戶的兒子是軟體工程師，專門寫程式。
    4) 客戶的丈夫曾經去大陸經商，一年未回家，目前每天早上有走路運動的習慣，通常走5.5公里，並且持續服用蚓激酶，已經兩年，服用量為一天一顆或兩顆，且有裝支架。
    5) 客戶養了一隻寵物，僅限於為其洗澡。

2. 健康狀況
    1) 客戶目前62歲，已滿60歲，適合使用滋潤型保養品，並有低血壓但無暈眩問題。
    2) 客戶有睡眠問題，睡不好是主要關注點，並且有便秘問題，擔心長期使用某些產品可能有副作用。
    3) 客戶的母親患有青光眼，家人有血脂高和血壓高的健康問題，但無血糖高，且家人有在服用血壓藥。
    4) 客戶提到自從與專員通話後，感覺身體有些不舒服，例如頭暈腦脹。

3. 職業背景
    1) 客戶目前休假，最近工作量較少，工作已由一位男同事接手。
    2) 客戶上班時開車，有時去銀行會借同事的摩托車。
    3) 客戶的生意在六月份表現不佳。
    4) 客戶的女兒在國貿大樓上班，環境高檔，賣高檔商品；兒子是軟體工程師。

4. 健康食品使用心得
    1) 客戶曾使用華陀品牌的紅色膠囊益生菌，目前家中有八盒存貨，服用量有時一天一顆，有時一天兩顆，並偏好目前使用的品牌。
    2) 客戶和先生一起服用葉黃素，偏好膠囊形式，且葉黃素是家中常用的保健食品。
    3) 客戶的先生持續服用蚓激酶，家中也常用此保健食品。
    4) 客戶早上起床會喝500cc的水，並曾服用幹細胞產品。
    5) 客戶家中已購買多瓶B群，主要是她自己服用。

5. 禁忌
    1) 客戶不能吃魚油，且不想要幹細胞相關產品。
    2) 客戶對美白產品過敏，因此選擇保濕產品。
    3) 客戶不太在意敷面膜或使用保養品，僅偶爾使用幫助排便的產品。",1
